Binary Search Tree				
Size	Ordered	Random	Ordered_Contains	Random_Contains
3290	0.071096281	0.001039246	0.021606154	0.000011074
3300	0.073280522	0.001017911	0.021070896	0.000010857
3310	0.071611126	0.001180171	0.020203845	0.000018674
3320	0.074302396	0.001043914	0.020603605	0.000011508
3330	0.072113378	0.001096409	0.020895445	0.000011291
3340	0.073682236	0.00108262	0.021492588	0.000011509
3350	0.079209391	0.001293846	0.025808087	0.000018674
3360	0.081235769	0.0012122	0.022416097	0.000019543
3370	0.074164292	0.00106058	0.02121204	0.000015418
3380	0.076581094	0.001085225	0.022067148	0.000011509
3390	0.076850351	0.001044294	0.022221971	0.000011291
3400	0.07842898	0.001103194	0.022575263	0.000011943
3410	0.078036602	0.001076323	0.022273651	0.000011291
3420	0.0778909	0.001321043	0.023029743	0.00001672
3430	0.078339517	0.001095377	0.02203284	0.000011943
3440	0.078648728	0.001089189	0.022167252	0.000014983
3450	0.079458455	0.001099829	0.022861457	0.000011292
3460	0.078541894	0.001102923	0.022676234	0.000012377
3470	0.079748123	0.001098254	0.023137446	0.000012594
3480	0.078875426	0.001083	0.022282771	0.000011726
3490	0.081222523	0.00109896	0.023251663	0.000012595
3500	0.083174204	0.001106017	0.024011229	0.000011942
3510	0.083683621	0.001252751	0.023722211	0.000015634
3520	0.083454535	0.00110276	0.024124144	0.000015635
3530	0.08532153	0.001169314	0.024618795	0.00001824
3540	0.084992341	0.001118123	0.023763034	0.000012377
3550	0.084173279	0.001271642	0.024334554	0.000012377
3560	0.084168719	0.001172354	0.025021812	0.000019543
3570	0.084055152	0.001130717	0.024235103	0.00001216
3580	0.083936809	0.001151183	0.024008189	0.00001216
3590	0.085583621	0.001246563	0.024678944	0.000017588
3600	0.084840342	0.001154169	0.024142383	0.000011943
3610	0.085670044	0.001153354	0.024670909	0.00001672
3620	0.089004708	0.001184677	0.025004658	0.000012811
3630	0.092268583	0.001220289	0.026006121	0.000012594
3640	0.097128459	0.001344874	0.028164304	0.000832308
3650	0.087905965	0.001174145	0.028321733	0.00001368
3660	0.088027348	0.001174635	0.026789572	0.000013246
3670	0.088714605	0.001166926	0.02746467	0.000013028
3680	0.089428789	0.001174634	0.026725732	0.000024972
3690	0.090185531	0.0011609	0.025328201	0.00001216
3700	0.092376937	0.001194014	0.026448875	0.00002432
3710	0.088554788	0.001272837	0.025496052	0.000019326
3720	0.092339589	0.001166003	0.026181573	0.000012377
3730	0.091789131	0.001196946	0.029896236	0.000012812
3740	0.095092527	0.001206174	0.027675733	0.000018023
3750	0.094275635	0.001217737	0.026986738	0.000016068
3760	0.093257235	0.001195263	0.027086624	0.000013029
3770	0.09510295	0.001212906	0.027290738	0.000013246
3780	0.09414687	0.001197652	0.027081195	0.000012811
3790	0.09720207	0.001224957	0.02789331	0.000012595
3800	0.096059247	0.001246237	0.028052258	0.000013463
3810	0.09724463	0.001228594	0.028627036	0.000012594
