BST
Size;Add_Ordered;Add_Random;Remove_Ordered;Remove_Random;Contains_Ordered;Conrains_Random
4280;118940247;1419680;33456294;18457;33856923;17371
4290;122926123;1388574;35012557;18240;35103757;14548
4300;125855380;1430917;36097403;17371;36539506;14332
4310;126247540;1481674;36063095;17805;36303689;15852
4320;123321539;1433197;36586410;16937;36818969;14549
4330;128388787;1432437;36344512;28229;35802958;17371
4340;125421746;1389605;35842478;18240;35716317;13897
4350;127106775;1552028;36140181;17588;36377735;17806
4360;126573472;1434880;35966900;18023;36543632;14548
4370;123978179;1593937;37847575;25189;37902513;22148
4380;134390182;1476083;36702798;17805;37771793;14766
4390;125626946;1439983;35682226;18023;35071403;14549
4400;126073826;1434500;36453518;17154;36501940;17806
4410;130971267;1436074;36755998;18023;36899529;14983
4420;130076856;1449863;37106900;17589;37221335;15200
4430;130644684;1450351;37249781;18675;39493519;16503
4440;135285028;1477983;42589542;23451;38324638;18457
4450;131410764;1562397;38361770;19326;38178284;14983
4460;131934296;1526949;38095770;19109;38283381;16286
4470;135077874;1464140;38984319;17589;38993438;14765
4480;133972182;1485311;39528261;18023;38303358;14983
4490;132231999;1648277;38980410;18240;38567621;23234
4500;134913062;1539868;39459427;18240;38279039;15200
4510;132061759;1494323;38538307;18240;38504215;15200
4520;138665075;1534169;46097052;26926;42609085;23885
4530;137402823;1492314;39817930;21497;39207325;63623
4540;141381098;1499751;37614798;18892;38214112;15200
4550;138790149;2252369;41500788;18023;40111942;16069
4560;136419600;1494052;38666204;18891;40212913;19543
4570;140504927;1518642;40363827;18674;41638673;15200
4580;136471932;1550509;40165575;18674;39862879;16069
4590;144329248;1561583;38432341;18457;38551553;18457
4600;138178892;1553440;40837633;21063;40721027;15417
4610;146261603;1553006;43055314;20846;43166273;19108
4620;142051853;1722920;40644593;19543;41041747;14983
4630;145358071;1535417;39674833;18891;39594490;15418
4640;148072791;1531291;40114547;21062;41389828;15200
4650;142769076;1534386;42467508;19325;41158136;15635
4660;147013785;1644369;41424787;18675;45177017;15634
4670;148486014;1551920;42860320;21280;41914879;20629
4680;148526403;1818028;43137394;23668;42811896;22149
4690;152183958;1537589;42203679;18457;43106560;15417
4700;146286574;1578303;43129793;19760;43116331;30618
4710;149529386;1567229;41751588;20411;44004880;16069
4720;144922483;1573363;41136857;19109;41721621;15851
4730;151329718;1671294;45313600;20411;45581988;16938
4740;146632699;1727697;41906845;19977;41667119;16503
4750;149936312;1543071;42614948;18674;42827965;15852
4760;156109034;1576240;44270880;19109;43708914;14982
4770;154571879;1598389;44920137;19109;44108022;15851
4780;147577923;1554308;42528742;19109;42838822;15634
4790;149361101;1737143;42918731;19543;43499588;18240
4800;152455170;1570160;44084354;19760;44845440;16069
4810;154591422;1748814;43153463;19326;46173920;16503
4820;154861114;1648223;44921223;19109;44995051;16503
4830;158691948;1600886;44369897;40388;45281463;16069
4840;151941844;1630580;43345851;19542;43576239;16938
4850;157625343;1863357;44894297;19109;44691702;16503
4860;164609310;1613318;47091349;19542;46924800;18023
4870;154917136;1643283;44850868;21063;44227668;15851
4880;162404007;1653489;46395623;21280;46968012;16502
4890;161625114;1971603;49658847;22149;47166481;16286
4900;160541354;1779974;46042983;19977;47718675;20195
4910;158829183;1679763;46090103;20194;46543280;16503
4920;160716806;1663369;46495726;24320;45684480;21280
4930;168179356;1706960;47237921;23451;47975989;16937
4940;160185241;1671674;44263497;19543;44665428;16069
4950;165571904;1702020;47618572;20194;47767749;16069
4960;168054717;1674714;48262400;20194;48098892;16069
4970;164830362;1633728;47514995;21714;47951452;17372
4980;169906729;1706689;47770572;19543;48101715;16286
4990;167677105;1724820;49999761;20194;51774687;17155
5000;168771506;1700174;48313429;21931;47622263;18240
5010;165693070;1789745;47922138;20411;48106927;16503
5020;169179517;1676017;50452722;20846;50254686;16937
5030;166568156;1679166;50353704;20195;46652720;16720
5040;166529287;1671295;49220218;20629;50945636;16937
5050;171451049;1670752;48141235;20194;50626870;16937
5060;170225711;1710651;48783761;20845;48655863;16938
5070;171377220;1780192;47950801;20195;48489966;17371
5080;172434489;1723355;48780938;19978;48161212;19325
5090;171927461;1705223;49221956;20846;50539578;17589
