TreeSet						
Size	Add_Ordered	Add_Random	Remove_Ordered	Remove_Random	Contains_Ordered	Conrains_Random
1610	0.000155692	0.00018126	0.000082732	0.000006515	0.000068834	0.000006514
1620	0.000155909	0.000193745	0.000108137	0.000007166	0.000076651	0.000007383
1630	0.000171543	0.000219314	0.000094023	0.000006298	0.000088594	0.000007165
1640	0.000148742	0.000185114	0.000085772	0.000006515	0.000076	0.000006731
1650	0.000148743	0.000184299	0.000085554	0.000006949	0.000070354	0.000006731
1660	0.000171108	0.000228922	0.000098583	0.00001064	0.001001898	0.000012594
1670	0.000151348	0.000186091	0.000085771	0.000006514	0.000073178	0.000006514
1680	0.000163509	0.000197491	0.000092069	0.000006731	0.000075783	0.000006949
1690	0.000176103	0.000203842	0.000093805	0.000006949	0.000082515	0.000014331
1700	0.000156125	0.000197382	0.000087509	0.000006949	0.000073177	0.000006731
1710	0.000178709	0.0001995	0.000094458	0.000006948	0.000078822	0.000006949
1720	0.000267303	0.000196351	0.000089029	0.000006731	0.000073611	0.000006949
1730	0.000160903	0.000197871	0.000088594	0.000006948	0.000074263	0.000006949
1740	0.000163725	0.000200966	0.000090114	0.000006948	0.000074697	0.000007166
1750	0.000160903	0.000199337	0.000090114	0.000006948	0.000074263	0.000007166
1760	0.000162857	0.000204331	0.000104012	0.000007383	0.000080777	0.000007383
1770	0.000166548	0.000203571	0.000091418	0.000006949	0.000076	0.000007166
1780	0.000165245	0.000203951	0.000093372	0.000007383	0.000076217	0.000007166
1790	0.000165028	0.000203462	0.000095977	0.000007382	0.000076869	0.000006949
1800	0.000166766	0.000204928	0.000133543	0.000006949	0.000077086	0.000007165
1810	0.000195646	0.000231637	0.000158732	0.0000076	0.00009424	0.000008251
1820	0.000168286	0.000209163	0.000094457	0.000007166	0.000078389	0.000007382
1830	0.00016872	0.000238205	0.00009728	0.000009554	0.00007904	0.000008903
1840	0.000169806	0.0003686	0.000097497	0.000008686	0.000078823	0.000008903
1850	0.000177188	0.000214591	0.000100971	0.000007383	0.000079475	0.000007817
1860	0.000172846	0.00022116	0.000098583	0.0000076	0.000093154	0.000008034
1870	0.000175235	0.00021584	0.000099234	0.000007383	0.00008056	0.000007817
1880	0.00017784	0.000236468	0.000124857	0.000011291	0.000080343	0.000011292
1890	0.000188046	0.000231528	0.000106617	0.000007817	0.00008664	0.000008469
1900	0.00017632	0.000220345	0.000099669	0.000008034	0.000082514	0.0000076
1910	0.000177623	0.000226752	0.000108789	0.0000076	0.000082514	0.0000076
1920	0.000181749	0.000224959	0.000099668	0.000014982	0.000096846	0.000008252
1930	0.00018392	0.000261711	0.000103577	0.000012811	0.000088812	0.000012378
1940	0.000181749	0.000227457	0.000103142	0.000016069	0.0000836	0.000008468
1950	0.000208023	0.000245371	0.000114	0.000008468	0.000095543	0.000008035
1960	0.000183703	0.000240106	0.000111394	0.000007383	0.000084686	0.000008903
1970	0.000185657	0.000228543	0.000109005	0.000008034	0.000085989	0.000008251
1980	0.000262526	0.000244611	0.000105749	0.000008035	0.000086423	0.000008034
1990	0.000190217	0.000234785	0.000108138	0.000008034	0.000085771	0.000008034
2000	0.000188046	0.00023142	0.000103794	0.000009337	0.000108571	0.000008251
2010	0.000209977	0.00027512	0.000117692	0.000014982	0.00010184	0.000011075
2020	0.000192823	0.00024776	0.000108789	0.00001064	0.000089897	0.000011292
2030	0.000201943	0.00025194	0.000112481	0.000008469	0.000094022	0.000008686
2040	0.000193475	0.000239834	0.000105749	0.000008251	0.000088811	0.00001216
2050	0.00019608	0.000244882	0.000106617	0.000008469	0.000089463	0.000008251
2060	0.000213668	0.00026296	0.00011552	0.000008034	0.000094892	0.000008035
2070	0.000208675	0.000262797	0.000119428	0.000008252	0.000097714	0.000008251
2080	0.000199337	0.000252266	0.000112046	0.000008903	0.000091851	0.000008469
2090	0.000215188	0.000245589	0.000109223	0.000008469	0.000090549	0.000008468
2100	0.00020216	0.000252428	0.000110743	0.000009337	0.000090983	0.000008903
2110	0.00021584	0.0002717	0.000117692	0.000010857	0.000098365	0.000010857
2120	0.000203897	0.000252863	0.000113566	0.000008469	0.000093371	0.000008685
2130	0.000221703	0.000272242	0.000121166	0.00000912	0.000099234	0.000009989
2140	0.000236252	0.00028006	0.000125291	0.000008468	0.000110743	0.000008903
2150	0.000211063	0.000255902	0.00011248	0.000008685	0.000093806	0.000008469
2160	0.0002052	0.000253949	0.000119212	0.000008686	0.000126594	0.000008685
2170	0.000231041	0.000272242	0.000122034	0.00000912	0.00010032	0.000008902
2180	0.000208892	0.000280223	0.000116171	0.000009337	0.000095326	0.000009337
2190	0.000212149	0.000264914	0.000115738	0.000008685	0.000104445	0.000008903
2200	0.0002128	0.000260354	0.000114651	0.000009554	0.000095543	0.0004408
2210	0.000261006	0.00026752	0.000142012	0.000008686	0.000134845	0.000008686
2220	0.000256446	0.000266	0.000120732	0.000008903	0.00009728	0.00000912
2230	0.000214972	0.000269691	0.000117908	0.00000912	0.000097063	0.000008903
2240	0.0002356	0.000265945	0.000123989	0.000008903	0.000105966	0.000008903
2250	0.000250149	0.000318222	0.000130503	0.000011508	0.000115086	0.000011075
