Size;Time
2502;790
2503;395
2504;395
2505;395
2506;395
2507;395
2508;395
2509;395
2510;790
2511;790
2512;791
2513;1975
2514;0
2515;395
2516;1975
2517;1185
2518;395
2519;395
2520;395
2521;1580
2522;791
2523;395
2524;791
2525;395
2526;395
2527;1580
2528;790
2529;790
2530;0
2531;790
2532;790
2533;395
2534;790
2535;1580
2536;395
2537;790
2538;395
2539;790
2540;790
2541;1185
2542;790
2543;395
2544;396
2545;395
2546;790
2547;1581
2548;790
2549;395
2550;790
2551;790
2552;395
2553;1580
2554;790
2555;395
2556;1186
2557;1975
2558;395
2559;1185
2560;790
2561;790
2562;395
2563;790
2564;395
2565;395
2566;395
2567;395
2568;395
2569;395
2570;396
2571;395
2572;790
2573;395
2574;395
2575;395
2576;0
2577;395
2578;395
2579;790
2580;395
2581;0
2582;395
2583;0
2584;0
2585;1580
2586;790
2587;395
2588;790
2589;395
2590;395
2591;0
2592;791
2593;395
2594;395
2595;790
2596;395
2597;395
2598;395
2599;395
2600;1975
2601;1185
2602;1975
2603;790
2604;395
2605;395
2606;790
2607;790
2608;790
2609;790
2610;791
2611;396
2612;790
2613;395
2614;790
2615;1185
2616;1976
2617;1185
2618;790
2619;395
2620;790
2621;790
2622;395
2623;790
2624;4741
2625;1975
2626;2766
2627;1975
2628;790
2629;790
2630;396
2631;395
2632;790
2633;395
2634;790
2635;395
2636;395
2637;791
2638;395
2639;395
2640;790
2641;790
2642;790
2643;395
2644;395
2645;395
2646;395
2647;395
2648;395
2649;395
2650;395
2651;0
2652;395
2653;790
2654;1580
2655;1185
2656;395
2657;396
2658;395
2659;790
2660;790
2661;790
2662;395
2663;790
2664;395
2665;790
2666;395
2667;790
2668;395
2669;790
2670;395
2671;395
2672;1580
2673;395
2674;395
2675;395
2676;790
2677;790
2678;395
2679;396
2680;790
2681;395
2682;395
2683;395
2684;790
2685;395
2686;395
2687;395
2688;395
2689;395
2690;791
2691;395
2692;395
2693;395
2694;790
2695;395
2696;395
2697;395
2698;0
2699;395
2700;395
2701;395
2702;790
2703;395
2704;790
2705;395
2706;396
2707;395
2708;395
2709;395
2710;395
2711;395
2712;395
2713;395
2714;395
2715;395
2716;1185
2717;395
2718;395
2719;790
2720;395
2721;395
2722;395
2723;790
2724;395
2725;395
2726;395
2727;395
2728;791
2729;395
2730;1185
2731;395
2732;790
2733;395
2734;395
2735;396
2736;1185
2737;395
2738;790
2739;395
2740;790
2741;791
2742;395
2743;395
2744;395
2745;1580
2746;395
2747;790
2748;1185
2749;1185
2750;1580
2751;1581
2752;1976
2753;1580
2754;1581
2755;395
2756;395
2757;395
2758;791
2759;790
2760;790
2761;395
2762;395
2763;395
2764;791
2765;395
2766;790
2767;395
2768;1185
2769;395
2770;395
2771;395
2772;395
2773;0
2774;1581
2775;790
2776;395
2777;395
2778;790
2779;395
2780;1185
2781;395
2782;790
2783;395
2784;790
2785;790
2786;395
